paralog1	paralog2	avg_log_V1	avg_log_V2	avg_log_T01	avg_log_T02
PTETEGNP00017	PTETEGNP36175	0.109980610534203	0.186390051879376	0.780990973038402	0.981906424909222
PTETEGNP00167	PTETEGNP36304	0.661525204951283	0.0953101798043249	1.43038746378195	0.671502771670729
PTETEGNP00168	PTETEGNP36305	1.60752716642203	0.185129007464375	3.11899127854391	0.807990377151965
PTETEGNP00237	PTETEGNP36359	1.48369499491757	0.631006199324284	4.24630341414585	4.222927473497
PTETEGNP00259	PTETEGNP36374	0.491688616039966	0.0953101798043249	0.51371806585386	0.244970287003414
PTETEGNP00281	PTETEGNP36398	0.785975354478963	0.32374439501975	0.697979407294754	0.938321105278613
PTETEGNP00284	PTETEGNP36400	0.41914985124538	1.41478986391304	2.15481523197932	2.44123794828344
PTETEGNP00287	PTETEGNP36403	0.70184933646341	0.413491335513672	1.55578191199501	2.23798413683118
PTETEGNP00290	PTETEGNP36405	5.39196545147964	0.939385792719817	3.97400290076555	2.0085777821697
PTETEGNP00302	PTETEGNP36416	0.480354176851726	0.403054463105878	0.660387814992047	0.93699472354059
PTETEGNP00356	PTETEGNP36473	0.109351569630274	1.37995548144084	0.546656779418024	0.638435566810787
PTETEGNP00381	PTETEGNP36491	0.392558172400191	0.792391027722617	1.54589205070288	1.36802171461459
PTETEGNP00393	PTETEGNP36498	2.70080673880664	0.918395657103044	3.2094650192353	0.787933222102959
PTETEGNP00423	PTETEGNP36529	0.169817726176572	0.441424205751266	0.204678690850405	0.679995025582019
PTETEGNP00428	PTETEGNP36530	3.95600403813672	0.729659320344179	3.22925042111585	1.93741968689057
PTETEGNP00429	PTETEGNP36531	0.410549586231037	0.362901934930209	0.746981740858236	0.781122258214287
PTETEGNP00442	PTETEGNP36544	0.601472823813733	0.517348570191318	1.05126318831724	0.913851421600064
PTETEGNP00447	PTETEGNP36549	0.743539410315094	1.95648126831522	1.32201161289449	2.42181245306707
PTETEGNP00465	PTETEGNP36567	0.23176649486918	0.420681382880877	0.658114329004963	0.469557013846047
PTETEGNP00501	PTETEGNP36595	1.74993253486111	0.63601075347848	1.80855696780188	1.65537619062803
PTETEGNP00540	PTETEGNP36622	0.340671775053042	0.0953101798043249	0.625263060249594	0.447040661981593
PTETEGNP00592	PTETEGNP11547	0.467394877632952	2.63529019778383	1.67619277006639	3.66692596021107
PTETEGNP00927	PTETEGNP14382	1.16519184894013	0.223687425659402	1.78618117769058	0.970503629999648
PTETEGNP00931	PTETEGNP14384	1.53275765804544	1.60623550113572	2.93332405846274	1.92904233704205
PTETEGNP00939	PTETEGNP14388	1.59328703678013	3.16060541026501	0.890319274473972	4.71192023681667
PTETEGNP00951	PTETEGNP14402	0.321545946552211	0.128886763878737	0.628565596681272	0.418408760365841
PTETEGNP00664	PTETEGNP30341	0.244422626162623	0.128571339381277	0.202990974288225	0.524896214125199
PTETEGNP00696	PTETEGNP30378	0.275690758110276	0.472016689689018	0.677790832734783	0.924056412649823
PTETEGNP00697	PTETEGNP30380	2.57161236931347	2.03802753871568	2.07135902237526	1.04152383566698
PTETEGNP00700	PTETEGNP30383	0.208777075304188	0.337673670481268	0.39779734484351	0.471852899098633
PTETEGNP00703	PTETEGNP30385	2.67337386149722	1.91845016320413	2.02118576585683	2.90487346667186
PTETEGNP00732	PTETEGNP30414	0.962091081367643	0.263562382947116	1.37566915999026	0.960993837811175
PTETEGNP00752	PTETEGNP30437	0.711529162748625	1.68618016896668	1.60749371420585	2.26217298088002
PTETEGNP00755	PTETEGNP30439	0.380166308170717	0.959192256417197	0.574490056574424	0.901321722890785
PTETEGNP00769	PTETEGNP30453	1.03972790250156	0.391479927579801	2.03912769771689	1.84872282860352
PTETEGNP00788	PTETEGNP30476	0.79087543240841	1.42709761236084	2.26460218261496	1.82376907174167
PTETEGNP00789	PTETEGNP30478	0.35878696165308	0.605104656977232	1.56526255555641	1.58460297653473
PTETEGNP00810	PTETEGNP30505	0.302564648606345	1.95806672148453	0.868110438572337	2.29313400428191
PTETEGNP00852	PTETEGNP30545	0.649871262174739	0.332720724044472	1.4110044179479	1.07995353137952
PTETEGNP00856	PTETEGNP30547	0.480291205949448	1.24550020676895	1.85978938527597	1.58342437412942
PTETEGNP00883	PTETEGNP30575	1.23856806030333	3.48248939274342	0.318297488527512	3.88315519934177
