paralog1	paralog2	avg_log_V1	avg_log_V2	avg_log_T5_1	avg_log_T5_2
PTETEGNP00017	PTETEGNP36175	0.109980610534203	0.186390051879376	2.21669350538708	1.45569523384321
PTETEGNP00167	PTETEGNP36304	0.661525204951283	0.0953101798043249	1.46444524986261	0.545152124192486
PTETEGNP00168	PTETEGNP36305	1.60752716642203	0.185129007464375	3.04944995938131	0.245486703020113
PTETEGNP00237	PTETEGNP36359	1.48369499491757	0.631006199324284	4.42314553170199	3.80693096503647
PTETEGNP00259	PTETEGNP36374	0.491688616039966	0.0953101798043249	0.508084969979429	0.454655098081534
PTETEGNP00281	PTETEGNP36398	0.785975354478963	0.32374439501975	0.638324742788495	0.734330492205819
PTETEGNP00284	PTETEGNP36400	0.41914985124538	1.41478986391304	1.55995702989543	1.91607571349608
PTETEGNP00287	PTETEGNP36403	0.70184933646341	0.413491335513672	1.24759960596242	1.5034338582936
PTETEGNP00290	PTETEGNP36405	5.39196545147964	0.939385792719817	4.17500305651835	2.65760249314788
PTETEGNP00302	PTETEGNP36416	0.480354176851726	0.403054463105878	0.727851165389504	0.638997436889635
PTETEGNP00356	PTETEGNP36473	0.109351569630274	1.37995548144084	0.567124904533741	0.622713265707965
PTETEGNP00381	PTETEGNP36491	0.392558172400191	0.792391027722617	1.78927031999549	1.62415187494858
PTETEGNP00393	PTETEGNP36498	2.70080673880664	0.918395657103044	3.27109579468105	0.873002596043313
PTETEGNP00423	PTETEGNP36529	0.169817726176572	0.441424205751266	0.316622504884268	0.672220487244115
PTETEGNP00428	PTETEGNP36530	3.95600403813672	0.729659320344179	3.44124217646226	1.14553559237595
PTETEGNP00429	PTETEGNP36531	0.410549586231037	0.362901934930209	0.862486250954405	1.00500421235042
PTETEGNP00442	PTETEGNP36544	0.601472823813733	0.517348570191318	1.58372358987321	1.11495406693399
PTETEGNP00447	PTETEGNP36549	0.743539410315094	1.95648126831522	1.92953158758619	2.78438544754765
PTETEGNP00465	PTETEGNP36567	0.23176649486918	0.420681382880877	0.902344836463012	0.861250463110704
PTETEGNP00501	PTETEGNP36595	1.74993253486111	0.63601075347848	1.65181759057484	1.44449943368154
PTETEGNP00540	PTETEGNP36622	0.340671775053042	0.0953101798043249	0.480661710182641	0.422683712615333
PTETEGNP00592	PTETEGNP11547	0.467394877632952	2.63529019778383	1.52821016075006	3.67606592713907
PTETEGNP00927	PTETEGNP14382	1.16519184894013	0.223687425659402	1.76727071119204	0.717031872278998
PTETEGNP00931	PTETEGNP14384	1.53275765804544	1.60623550113572	2.43203914115986	1.77375121846228
PTETEGNP00939	PTETEGNP14388	1.59328703678013	3.16060541026501	0.800607712069939	4.65526470809845
PTETEGNP00951	PTETEGNP14402	0.321545946552211	0.128886763878737	0.464903483950896	0.25641845987674
PTETEGNP00664	PTETEGNP30341	0.244422626162623	0.128571339381277	0.33997373075775	0.327246331599745
PTETEGNP00696	PTETEGNP30378	0.275690758110276	0.472016689689018	0.530279399751363	0.724899605788695
PTETEGNP00697	PTETEGNP30380	2.57161236931347	2.03802753871568	1.91130961310547	0.770201185633406
PTETEGNP00700	PTETEGNP30383	0.208777075304188	0.337673670481268	0.605787684649785	0.497647097893195
PTETEGNP00703	PTETEGNP30385	2.67337386149722	1.91845016320413	1.86412598528692	2.52961409829433
PTETEGNP00732	PTETEGNP30414	0.962091081367643	0.263562382947116	1.60568074251023	1.06065656252248
PTETEGNP00752	PTETEGNP30437	0.711529162748625	1.68618016896668	2.11101240772219	2.55601465322926
PTETEGNP00755	PTETEGNP30439	0.380166308170717	0.959192256417197	0.585608153518042	0.891772456528506
PTETEGNP00769	PTETEGNP30453	1.03972790250156	0.391479927579801	1.74672581268237	1.58647061820021
PTETEGNP00788	PTETEGNP30476	0.79087543240841	1.42709761236084	1.95520364890965	1.80088635404614
PTETEGNP00789	PTETEGNP30478	0.35878696165308	0.605104656977232	1.31668384502067	1.66670373873134
PTETEGNP00810	PTETEGNP30505	0.302564648606345	1.95806672148453	0.585732760792368	2.23445658855058
PTETEGNP00852	PTETEGNP30545	0.649871262174739	0.332720724044472	1.4296893438687	0.896641691232776
PTETEGNP00856	PTETEGNP30547	0.480291205949448	1.24550020676895	1.36230750397877	1.55793000878271
PTETEGNP00883	PTETEGNP30575	1.23856806030333	3.48248939274342	0.095310182234784	3.92420802371231
PTETEGNP01049	PTETEGNP07707	0.205798556325293	0.316357353669018	0.687674686443144	0.461248727338988
PTETEGNP01097	PTETEGNP07674	0.613347681818012	0.786300243238372	1.85293998217766	1.86578357969969
PTETEGNP01104	PTETEGNP07666	1.10759117211424	0.127438056749302	0.729720159447708	0.746626062757266
PTETEGNP01119	PTETEGNP07652	1.11444589046232	0.488740622822965	1.8603006349925	2.17409037147285
PTETEGNP01122	PTETEGNP07646	0.645728910282543	0.939172516827858	2.63559465370317	2.20580798366886
PTETEGNP01167	PTETEGNP26263	0.353651357166698	0.630081842202632	0.98422552864064	0.917745898093715
PTETEGNP01170	PTETEGNP26264	0.0953101798043249	3.15419400971604	1.24452122876626	2.10239195666327
PTETEGNP01174	PTETEGNP26268	4.09351835082266	0.30001563992838	4.9429544003529	0.756871665387224
PTETEGNP01206	PTETEGNP26307	1.56598492211918	1.41903409556946	1.93006175270965	1.03617283788275
PTETEGNP01207	PTETEGNP26308	0.137067240214207	3.06885146408983	0.709547979033557	2.83813565028742
PTETEGNP01362	PTETEGNP24416	0.701778049006418	0.601980408350642	0.838709884835168	0.88812899757832
PTETEGNP01419	PTETEGNP24478	2.96170310496639	0.566415618748393	2.47667306914203	2.9891269743192
PTETEGNP01434	PTETEGNP24500	0.686339410777205	1.67070546918797	1.7480461300598	2.24930878207698
PTETEGNP01436	PTETEGNP24502	0.409606339308595	0.0953101798043249	0.584887659579164	0.234218326089092
PTETEGNP01453	PTETEGNP24518	0.439392386525125	0.45242584209946	1.71889009230665	0.990921765791982
PTETEGNP01500	PTETEGNP24560	1.10218602459698	1.547582682845	2.04035363831215	1.753853135698
PTETEGNP01515	PTETEGNP24579	0.678531314519097	1.40563819390379	1.02898092310469	0.740350035888325
PTETEGNP01530	PTETEGNP24522	1.24231656897686	2.45560921351153	0.592490870428074	1.86895545528978
PTETEGNP01565	PTETEGNP10319	1.64216285133705	0.140694543121906	2.30519936589828	0.49969878631079
PTETEGNP01568	PTETEGNP10322	0.32129945074872	0.211174143168824	0.340955022751211	0.406461830812885
PTETEGNP01574	PTETEGNP10330	2.02711304788518	1.0227804087126	1.66074565160327	0.734270720068794
PTETEGNP01619	PTETEGNP10372	0.352575948484875	0.882752043322178	3.16084950462818	2.06298077772624
PTETEGNP01632	PTETEGNP10383	0.479442178728782	1.48021661870684	1.00086396720217	2.03197319061803
PTETEGNP01640	PTETEGNP10390	0.421254481782225	2.45370362030271	1.76811748411677	2.95071467125084
PTETEGNP01665	PTETEGNP10408	0.439784777996236	0.152543236110688	0.570313139385236	0.440290327527637
PTETEGNP01673	PTETEGNP10414	0.514000745708498	0.447389182080006	0.7144191844759	0.623942946467956
PTETEGNP01712	PTETEGNP10445	0.953318248688121	0.275742884328443	0.858137457124791	1.24205765431758
PTETEGNP01807	PTETEGNP07552	1.46403971626966	0.398471541565216	1.49600057176869	1.23254511581761
PTETEGNP01899	PTETEGNP05511	0.24533765492612	0.247655259602978	0.663968683929702	1.17604222980998
