paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP09422	PTETEGNP13451	8.08004	7.01308	6.63767	4.51111	16.3897	9.9901	12.7469	9.56688	11.4351	12.3074	10.4699	8.82137	28.7204	14.4637	19.3485	11.8052	45.1704	15.4078	24.91	18.373	36.3224	17.0589	27.0705	9.61133	28.5257	14.7225
PTETEGNP09424	PTETEGNP13453	2.68557	3.98523	4.26082	6.84485	14.0608	22.7031	21.0943	34.7628	10.0973	15.8487	13.6152	26.618	11.3389	14.8272	14.6687	22.3159	0.895021	0.825903	1.37511	1.2655	0.998018	1.25154	1.28442	1.13595	0.98823	1.50479
PTETEGNP09425	PTETEGNP13455	0.528196	3.51221	0.720196	2.11462	3.5497	4.16607	2.51147	5.31926	3.87278	4.25376	4.27208	4.34272	4.36419	6.48993	8.55207	8.50878	6.51842	8.76351	15.7073	9.10512	6.02158	5.88579	7.42064	5.00619	13.1433	5.53437
PTETEGNP09426	PTETEGNP13456	9.24326	6.12725	13.0414	8.9551	8.02021	5.05267	9.92049	10.4482	12.0028	6.05728	12.9457	11.0869	16.1246	7.38986	13.8239	10.3847	17.1	6.46561	11.836	11.5324	9.08223	7.18369	13.4785	11.234	9.43962	9.18236
PTETEGNP09428	PTETEGNP13449	1.09762	0.476459	1.1346	0.513853	0.96367	3.53202	1.2202	3.45757	1.09055	2.55697	1.02453	1.8139	2.1506	3.36489	2.09488	4.59014	2.52895	2.85942	2.34793	3.25893	2.36224	2.18203	2.09235	4.10295	5.71906	29.9373
PTETEGNP09431	PTETEGNP13448	0.156027	137.519	0	126.22	0.453371	250.591	0.516767	201.673	0.441534	206.568	0.253549	176.655	0.391804	210.746	0.426627	199.77	0.24279	169.595	0.880186	185.219	0	128.247	0.129341	109.488	0.228303	170.828
PTETEGNP09437	PTETEGNP13443	3.63221	3.85672	3.38095	3.62215	3.1993	2.91985	4.06727	2.75321	4.3669	3.50863	6.14468	3.93748	7.12617	5.21876	5.9324	4.18867	7.87009	9.05606	6.88865	3.6755	5.78319	5.11352	6.05691	3.84582	6.57936	4.7797
PTETEGNP09439	PTETEGNP13446	5.29189	3.92841	4.46609	3.16409	5.26627	3.56205	3.0931	3.43724	7.66234	3.25263	6.5905	2.86941	12.5043	5.60444	9.89561	3.37535	7.73937	4.49148	5.99471	4.01066	7.98627	8.30114	4.59519	5.6426	7.27485	2.6254
PTETEGNP09440	PTETEGNP13447	6.20218	21.4756	4.67851	21.5018	7.03613	19.4538	6.15404	16.3504	7.80374	21.7388	7.59062	20.9592	9.5386	25.0574	8.99465	22.9998	10.7253	28.3989	9.25337	26.6006	14.2017	22.1199	11.7617	21.2627	10.8951	26.931
PTETEGNP09442	PTETEGNP13440	0.904664	1.74182	0.763123	1.65614	1.19191	3.12877	1.04848	3.54314	1.11161	3.95073	1.52831	4.91718	1.03896	4.4628	1.14397	5.758	1.46481	6.20391	1.24233	4.95229	1.301	4.81681	1.43139	5.8123	1.60544	6.98365
PTETEGNP09443	PTETEGNP13439	1.34868	0.774851	0.794747	0.587961	1.01922	0.599056	1.0018	0.450843	1.58481	0.880424	1.3563	0.601562	2.00607	0.844797	1.52939	0.740604	2.07751	0.759315	1.80373	0.882706	2.31609	1.35155	1.98618	1.22987	1.78962	0.741874
PTETEGNP09444	PTETEGNP13438	13.6438	7.44158	13.9237	5.78532	13.3697	8.25184	13.0945	10.2047	17.0939	9.02103	15.2081	11.4043	13.5892	7.82551	16.5132	12.6582	6.727	6.1857	9.13977	4.62605	8.30442	4.24034	7.61363	6.30618	6.28935	6.17852
PTETEGNP09449	PTETEGNP13434	0.541844	1.21219	0.858065	1.45571	1.18011	1.83741	1.33477	1.97601	0.795458	1.98934	1.04316	2.14095	0.507324	1.81828	0.797525	2.14845	0.600819	2.77461	0.690048	2.96625	0.77447	2.70901	0.745078	2.42401	0.968362	2.56299
PTETEGNP09451	PTETEGNP13433	2.83002	2.66289	3.46983	2.96868	3.26743	2.11393	5.54345	2.7162	2.03521	1.83758	4.03905	3.77377	2.85254	1.83107	3.5326	3.40879	2.27508	2.2444	2.8691	2.86293	1.78208	2.19024	4.02286	3.84627	2.81456	3.95454
