paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP00009	PTETEGNP36181	0.780967	1.53104	0.754715	1.08983	5.73006	9.59002	7.31975	9.99376	3.53173	5.61989	3.71759	5.88164	2.46401	5.29071	3.59878	4.79397	0.224739	0.610824	0.290825	0.418668	0.30842	0.541538	0.34945	0.389208	0.342543	0.834452
PTETEGNP00011	PTETEGNP36180	3.11897	1.80556	2.61109	1.87414	2.62762	2.18951	2.56283	2.39268	4.18024	3.67337	4.0431	3.95688	2.98009	2.60393	6.13951	4.2576	4.346	2.32299	6.24205	3.25926	4.25253	2.32898	3.35243	2.09584	5.17509	2.7076
PTETEGNP00012	PTETEGNP36179	30.5884	218.258	34.3831	242.271	49.2128	156.221	43.4621	145.341	41.6791	157.228	54.5872	164.58	53.1515	163.404	60.6306	134.626	59.315	149.239	66.702	108.702	65.1647	119.689	71.0347	114.28	91.5934	139.722
PTETEGNP00013	PTETEGNP36178	0.67457	0.846071	0.991253	0.908648	0.964528	1.55013	1.10246	2.06711	1.79257	2.21211	2.23242	2.92653	2.02238	2.68316	2.87663	3.73316	1.88033	1.25964	2.4012	1.88046	1.28555	1.39049	1.77933	1.46749	2.17582	1.97184
PTETEGNP00016	PTETEGNP36176	2.9233	2.39498	2.55866	1.81772	3.93771	2.87811	3.51723	2.71658	4.49241	3.88575	3.02979	3.32814	4.18902	4.80544	4.38101	4.46835	3.24429	3.71197	3.6024	3.12741	5.29644	4.95844	3.93058	4.19933	3.09632	3.21288
PTETEGNP00017	PTETEGNP36175	0.0327531	0.112972	0	0.0968661	0.213209	0.0969888	0.0876628	0.0431966	1.14865	1.94041	1.0205	1.24391	8.25988	3.21146	7.89757	3.1636	18.1632	3.78087	16.2209	4.21064	11.8495	8.73522	7.21867	6.28224	17.7596	5.03494
PTETEGNP00018	PTETEGNP36174	1.86602	4.3637	1.22464	3.60632	2.76263	6.14081	2.50521	5.22881	4.27753	7.30977	3.242	5.90906	4.7087	9.89824	4.1641	6.16072	2.53864	6.2895	2.30648	3.62595	2.99133	5.42899	3.02052	5.08684	2.20754	4.66114
PTETEGNP00019	PTETEGNP36173	2.08432	0.0409692	1.48004	0	4.04942	0.242789	5.10573	0.273125	4.53916	0.229486	3.9676	0.267957	4.82128	0.281139	4.70629	0.28541	4.1912	0.258599	8.68797	0.491691	5.59256	0.140556	4.68873	0.0668094	4.99235	0.0606042
PTETEGNP00021	PTETEGNP36172	1.87776	2.3178	1.79984	1.25741	4.92292	2.84556	3.54412	2.00489	5.95375	4.16785	5.57203	2.08643	3.17406	3.59353	6.97788	2.32356	3.60107	2.61265	6.07002	3.10367	3.24793	4.28739	2.74585	1.67841	4.16911	2.50267
PTETEGNP00024	PTETEGNP36170	1.35985	0.948013	1.94473	1.23957	2.05178	2.78595	1.97072	1.78016	2.92348	2.8843	3.12316	3.00289	3.55374	2.08317	3.32313	2.00519	0.386962	0.6124	0.429523	0.326236	0	0.191008	0.203531	0	0.181915	0.0822049
PTETEGNP00033	PTETEGNP36185	1.61693	5.99451	2.01346	7.92505	1.99367	6.51315	2.29445	9.2494	1.72908	5.39341	2.22583	7.96687	1.67795	5.22215	2.65768	8.42422	2.27888	5.05849	2.90716	8.10388	2.24481	6.00385	2.39533	8.1738	2.57315	7.32199
PTETEGNP00034	PTETEGNP36186	3.79363	2.49666	4.04213	2.90883	4.03522	2.7574	2.40352	2.40352	3.36189	2.01714	2.0701	1.78125	2.77757	1.83201	2.39876	1.85167	3.0608	0.444309	2.56626	1.04983	2.90441	1.63838	3.05681	1.1645	1.66642	1.27432
PTETEGNP00035	PTETEGNP36187	1.95732	4.12581	1.41327	3.05718	1.83773	4.2482	2.08228	4.339	1.52969	3.85355	1.71154	3.5696	1.85506	4.85611	1.77765	4.12484	1.76869	3.46585	1.53089	2.9941	1.70119	3.43978	1.6784	2.80598	1.34014	2.73461
PTETEGNP00036	PTETEGNP36188	22.134	0	29.7987	0	19.6104	0.161038	27.5435	0	15.0372	0.200982	20.2196	0	9.05754	0.553013	13.6313	0	8.31662	0	11.7227	0	11.6684	0	14.1856	0.289915	9.31459	0.241669
PTETEGNP00038	PTETEGNP36189	0.850889	2.16654	1.75995	3.51389	1.56168	3.18366	1.46438	4.14528	1.64241	3.00009	1.3815	5.86657	0.425801	1.47589	1.04365	5.37064	3.43349	1.99629	3.51438	4.69195	1.45489	1.92074	0.565942	3.99404	2.48348	5.04617
PTETEGNP00042	PTETEGNP36191	0.711779	0.952851	0.564597	1.13364	0.501142	1.50937	0.475318	1.71003	0.629462	1.76298	0.63129	2.14523	0.769201	1.75038	0.914134	1.66864	0.564125	1.08553	0.580926	0.984043	0.679168	1.2274	0.672853	1.20643	0.659433	1.14759
PTETEGNP00043	PTETEGNP36192	0.694049	6.51808	1.15836	7.20222	0.657215	5.49192	1.13448	5.54207	2.05376	6.12761	1.67725	6.45098	1.69207	6.37654	2.28747	6.24113	3.71182	5.3001	0.176733	5.23185	1.39884	5.15543	4.73787	4.09713	1.72348	4.6061
PTETEGNP00044	PTETEGNP36193	192.389	341.112	180.43	312.317	147.26	229.174	134.943	236.403	125.017	188.413	111	205.988	122.783	290.625	124.802	207.027	143.844	297.235	164.675	236.883	156.581	222.256	142.738	256.04	167.613	290.107
PTETEGNP00047	PTETEGNP36195	0.0245493	2.38216	0	2.20577	0.024472	4.38644	0.13125	3.80143	0.13694	5.69454	0	5.25696	0.127798	5.23123	0.103439	6.28258	0.233956	8.57202	0.515596	6.94011	0.281253	4.70653	0.198355	3.88827	0.473467	7.50123
PTETEGNP00048	PTETEGNP36196	6.82135	110.172	6.42375	65.9589	5.7033	49.1725	4.8296	29.1061	8.35045	53.3106	4.00102	33.5434	7.20418	42.3102	8.1611	46.9636	4.57926	51.7216	8.76489	64.3702	4.84401	73.4726	2.64001	35.2893	5.30569	35.658
PTETEGNP00051	PTETEGNP36199	2.15819	3.97402	1.4286	3.08896	2.18738	3.78509	1.60558	3.69515	3.57953	6.4209	3.0541	5.18011	2.31344	4.77838	2.19225	4.86604	1.92807	3.83224	2.09614	3.73099	2.43453	4.23994	1.91814	3.24578	2.62399	3.81721
PTETEGNP00053	PTETEGNP36202	0.259429	0.361644	0.294454	0.324212	0.688605	1.00587	0.733145	0.574173	1.15475	0.806526	0.921967	0.518549	1.23423	0.824776	1.26542	0.413084	1.81583	0.754503	1.34201	0.476375	1.29389	1.24324	1.20439	0.620268	1.13513	0.637324
PTETEGNP00054	PTETEGNP36204	0.124663	2.27629	0.0726086	4.59042	0.0608364	3.23116	0.248392	4.3137	0.0702014	5.82441	0	5.29228	0	5.79316	0	4.09024	0	4.01566	0.0721262	4.18663	0	3.50811	0	3.08504	0	2.85102
PTETEGNP00055	PTETEGNP36205	143.984	169.169	157.872	161.053	123.43	152.219	116.023	131.772	109.201	126.987	106.773	114.194	86.0549	87.2664	111.859	114.786	93.9421	92.5565	147.947	135.067	127.577	112.588	113.947	103.036	129.409	135.361
PTETEGNP00058	PTETEGNP36206	8.38934	5.95859	6.50812	3.87678	5.38025	3.02051	4.91144	2.4405	7.5883	6.16086	7.10448	4.76081	5.01072	3.51139	4.33183	2.96947	3.65586	2.43518	2.48077	2.46651	3.90852	3.18462	3.20271	2.44032	2.44206	1.93477
PTETEGNP00059	PTETEGNP36207	28.4249	29.3803	16.8903	17.0885	47.6711	49.2865	42.1883	44.1185	41.5045	42.5315	37.1698	37.3773	35.509	34.4714	34.0546	32.668	1.59161	1.0828	1.31573	1.00504	1.73255	1.40676	1.16364	1.06409	1.08882	1.07576
PTETEGNP00060	PTETEGNP36208	19.1124	12.389	15.2767	8.96875	4.82705	4.83103	4.27385	4.76718	2.36016	2.56818	1.92332	2.24812	2.77522	3.36142	2.54669	4.00828	2.29835	2.8808	2.12309	3.19146	12.7633	7.79791	11.6753	7.73287	1.64854	2.51181
PTETEGNP00062	PTETEGNP36209	23.2065	21.0176	18.7313	19.6849	16.0165	18.312	13.4472	16.8417	20.026	23.0454	16.0193	17.0405	22.0786	29.0545	18.3351	22.4221	23.7591	30.5973	17.7875	21.1281	23.3115	24.7099	19.3359	19.5853	18.547	25.3401
PTETEGNP00064	PTETEGNP36210	6.34477	3.13788	8.23316	3.67946	6.73389	7.89958	7.74196	6.28265	11.2111	9.41252	11.3744	5.47041	9.082	20.4083	10.3895	10.3984	14.9818	32.974	14.0694	7.32393	13.8082	9.89744	10.2448	10.7773	12.0192	8.4833
PTETEGNP00065	PTETEGNP36213	0.0386208	8.36876	0	7.75034	0.114587	5.92026	0.0515121	4.6801	0.129722	8.47493	0.0631666	5.55518	0.0663639	6.06516	0.161613	5.7703	0.305004	6.79198	0.0465409	5.83969	0.309246	7.67386	0	5.13114	0.114306	4.32874
PTETEGNP00066	PTETEGNP36216	7.41059	2.42563	7.48697	1.76078	7.08914	6.10232	5.26195	3.7467	10.3434	5.30518	7.91262	2.98989	9.0154	1.86709	7.81	5.87787	3.859	3.93612	3.55056	9.22949	3.12229	8.49169	2.86447	9.89491	2.96031	5.929
PTETEGNP00067	PTETEGNP36217	10.3379	8.03091	7.48821	5.14162	15.4361	10.0553	12.8015	9.14458	17.3306	13.1189	16.1158	11.9665	12.815	9.52302	14.7754	11.5531	6.30321	6.91687	6.51668	7.64568	10.5026	8.61234	9.51183	6.90425	6.98144	6.92733
PTETEGNP00069	PTETEGNP36218	48.2978	27.5225	64.3711	39.769	54.4775	45.7463	59.9246	56.0556	53.1306	46.0934	56.9942	55.3164	78.8161	55.2746	61.037	57.3046	65.9528	60.6844	46.0928	52.9139	74.0835	66.0539	79.9987	75.3513	44.3405	50.9823
PTETEGNP00071	PTETEGNP36219	4.93304	1.25673	3.91946	0.894854	3.65512	2.10679	4.02058	1.91759	4.76881	2.16258	4.3641	1.81916	3.60082	1.59262	3.90877	2.07516	2.61033	1.35314	2.99034	1.18733	2.68852	1.78286	2.68423	1.02063	3.57345	1.18128
PTETEGNP00072	PTETEGNP36220	26.8442	31.4609	21.253	23.0574	35.6522	35.3833	28.2108	25.358	28.2666	28.9533	18.3966	21.6967	15.8653	21.9363	17.3395	21.6889	16.5191	20.5029	13.9158	16.1066	20.2855	23.7521	14.8814	19.2974	14.4365	15.6395
PTETEGNP00075	PTETEGNP36221	61.8971	26.4483	51.8537	23.0773	21.5712	12.5862	15.7986	9.31045	31.365	20.9978	25.2183	11.9727	21.7948	16.673	24.484	13.4431	22.5929	22.8114	23.977	15.6754	28.5779	21.2005	20.7264	13.6833	24.1361	12.9326
PTETEGNP00076	PTETEGNP36222	29.4419	12.647	30.065	10.5091	45.2276	12.236	37.4231	9.32635	47.6415	12.7236	45.0351	10.0106	92.3577	18.1473	60.2538	15.0496	124.56	26.8137	70.4169	17.9588	97.4892	22.1898	89.1394	15.583	75.5862	17.2878
PTETEGNP00078	PTETEGNP36223	5.57274	15.3476	3.51763	12.0948	8.74036	9.94327	5.78957	9.03618	8.21544	7.40057	5.95311	6.57689	7.36245	4.4863	7.87566	6.63516	9.40618	2.59943	8.8027	4.35856	10.4844	10.1363	6.66548	8.63173	7.78537	6.85612
PTETEGNP00080	PTETEGNP36225	61.4875	154.098	38.6516	122.17	45.7724	82.1022	38.0219	76.6777	55.4623	97.3546	43.7167	92.9338	44.3631	77.8603	45.3069	93.9439	48.0603	73.3982	45.394	73.6135	48.1538	66.6234	35.9835	68.0434	52.7014	82.0835
PTETEGNP00085	PTETEGNP36226	16.9862	0	13.8331	0.0782906	9.2272	0.721961	6.63973	0.357946	12.4285	0.304194	10.2264	0.878406	10.1744	0.340786	10.1517	0.37075	10.7709	0.42124	11.3283	0.464172	14.7017	0.15379	9.47172	0.222548	9.10461	0
PTETEGNP00087	PTETEGNP36228	17.442	0.111989	13.1677	0.0535527	15.3626	0.670634	13.2414	1.04813	10.4086	0.499483	10.1778	0.477156	7.90951	0.389246	8.53123	0.440871	9.94816	0.391665	9.31211	0.47223	14.2734	0.43633	12.0225	0.289212	6.65089	0.365644
PTETEGNP00088	PTETEGNP36229	2.05942	5.52146	1.32664	4.05027	0.810745	4.29763	0.501042	3.13743	0.585277	4.40199	0.517952	3.21223	0.901076	6.97461	0.677492	5.09996	0.935982	8.30658	0.576815	5.87647	1.01989	6.66301	0.787962	6.12133	1.21676	4.5623
PTETEGNP00090	PTETEGNP36231	0.292596	0.501723	0.308752	0.391329	1.08499	1.59142	0.575732	1.19818	1.01613	1.26724	0.765342	0.889755	1.20295	2.41868	0.633999	1.79983	1.43207	1.79552	0.604081	1.21332	0.975882	3.87299	0.542108	2.57015	0.788764	1.71304
PTETEGNP00091	PTETEGNP36233	11.3734	0.717363	10.8547	1.08027	6.86354	2.30022	5.65656	1.71305	4.61864	0.891537	3.53122	1.98518	5.56516	1.20573	5.21661	1.77215	5.35891	1.23099	6.78398	2.04413	13.9803	2.29077	8.28781	2.13577	6.56127	1.78935
PTETEGNP00093	PTETEGNP36235	6.99278	7.37455	7.31185	5.9332	11.3821	8.21265	13.8069	8.76231	14.2396	12.2423	14.7436	9.24604	12.3184	13.0709	13.763	12.8226	17.1715	13.0945	15.1532	15.2331	21.3517	14.4097	19.4957	11.173	19.0003	11.0778
PTETEGNP00094	PTETEGNP36237	58.2519	19.2757	43.5067	16.4926	31.0918	9.87422	24.6715	8.92189	6.36147	3.22779	4.8106	2.41231	12.3331	4.49412	7.50078	3.34814	8.24257	2.90279	4.29828	1.8355	58.2831	10.847	39.7467	8.1773	3.99446	1.49647
PTETEGNP00097	PTETEGNP36239	1.82355	3.23971	1.55649	2.48948	2.82385	3.4928	2.23147	2.87133	3.75796	4.87369	3.49407	4.69024	6.0905	8.55633	3.05361	5.01214	3.66025	5.10714	1.71345	2.81943	2.60158	3.27963	2.06992	2.10233	1.83234	3.23136
PTETEGNP00098	PTETEGNP36242	3.97849	1.15348	3.04205	0.849676	4.09524	2.95893	4.11842	2.24374	6.21019	2.92725	4.86812	2.59802	7.21143	2.72022	5.78766	1.95275	2.45256	3.33443	1.85391	2.35679	4.11698	2.76914	3.02377	2.29974	2.21664	2.2394
PTETEGNP00106	PTETEGNP36245	24.5224	9.64199	24.152	9.1518	25.7191	8.82726	28.835	7.87199	25.2724	8.05533	28.5354	7.43462	17.8718	8.12427	29.3507	8.68121	11.3519	7.78724	16.5917	9.37798	16.2917	6.80308	18.1784	7.49832	20.4334	8.18462
PTETEGNP00107	PTETEGNP36246	0.22748	0.282324	0.535791	0.949733	0.4034	0.670085	0.303099	0.370586	0.459244	0.982312	0.223056	1.36431	0.544651	1.38414	0.759012	0.937468	0.573317	0	0.379227	1.47351	0.728043	0.64548	0.66934	1.19208	0.470698	2.02224
PTETEGNP00108	PTETEGNP36247	4.49685	1.7832	3.56274	2.08761	4.38709	3.48641	4.73437	3.72009	5.05405	2.693	6.25931	3.14756	4.75833	5.2454	5.45423	4.89397	3.44948	4.63251	3.72812	4.15556	6.38372	7.95121	7.40416	7.16484	3.82857	4.56764
PTETEGNP00109	PTETEGNP36248	11.0852	13.9785	18.3374	21.7492	13.8148	15.5864	19.3282	24.5988	17.3609	21.5746	26.4793	37.1503	21.0348	27.6264	24.7575	33.0785	14.61	12.6013	13.5033	12.694	10.8063	9.64729	18.3919	17.9513	17.5472	16.9059
PTETEGNP00110	PTETEGNP36251	2.86826	1.75243	2.11464	0.996178	2.77886	2.01292	2.09064	1.69305	3.78319	2.61837	3.20344	1.81049	2.62153	2.89568	2.41532	2.42061	3.2285	2.9519	3.50179	3.61496	4.30104	3.61289	2.10861	2.13764	2.08843	1.83917
PTETEGNP00111	PTETEGNP36252	4.20518	15.7091	4.23171	16.2257	6.05795	15.2721	5.92468	15.5927	11.5896	22.0111	10.8314	19.8629	9.57766	26.6257	9.9941	25.9085	10.2169	27.6873	9.28211	23.4537	11.2888	22.9751	8.39562	18.8634	7.06459	17.5333
PTETEGNP00112	PTETEGNP36254	2.38638	0.361816	1.94451	0.140674	4.36054	0.765993	3.97693	0.560897	4.09742	1.28975	2.78965	0.688353	3.40613	1.22491	3.38734	0.416032	0.498089	1.6054	0.316988	0.910222	0.560552	1.99565	0.441316	0.39685	0.2033	0.79895
PTETEGNP00113	PTETEGNP36255	1.73424	0.242093	0.978346	0.222092	2.33756	0.903014	1.73468	0.555795	4.56412	0.833239	3.49406	0.737694	3.65354	0.746969	3.19673	0.749532	2.36639	0.589003	2.22373	0.481224	2.83363	0.793589	1.58451	0.517908	2.13793	0.497041
PTETEGNP00114	PTETEGNP36257	0.654689	2.20531	0.461346	1.88135	1.19365	5.40202	0.97878	4.2503	1.22284	5.32973	0.631324	3.67674	1.0732	11.3322	1.30147	4.55399	1.5018	7.08148	1.12879	3.01011	1.5672	7.54169	1.36515	5.20798	0.972115	2.08148
PTETEGNP00116	PTETEGNP36260	2.40187	1.01139	2.4481	1.14291	3.6726	0.792359	3.88285	0.957918	5.66304	1.37178	4.04394	1.05224	3.48324	1.57586	3.33653	1.84718	3.37152	1.96865	3.56012	1.7604	2.99045	1.66966	2.79734	1.54426	2.0433	2.09018
PTETEGNP00124	PTETEGNP36264	2.43919	1.70066	1.8309	1.28595	2.481	2.20008	2.04701	1.63794	1.72992	2.21689	1.46416	1.81047	1.73104	2.09626	1.93363	1.87315	1.97158	1.95393	1.96424	1.78678	2.73379	2.85897	1.97744	1.95918	1.75029	1.39458
PTETEGNP00125	PTETEGNP36265	9.6762	13.2179	12.7026	15.8339	9.55606	6.98999	6.81703	8.55577	6.30843	5.2902	5.04045	4.16144	21.6499	22.6954	16.7558	21.2162	30.8639	42.1412	30.1409	32.2306	8.10935	10.7388	6.07991	10.7175	23.2216	40.3631
PTETEGNP00127	PTETEGNP36266	6.44312	3.03976	10.1053	2.85917	24.8278	3.21581	42.4873	5.49683	32.446	5.83201	61.6562	7.06095	23.0801	5.24028	37.8415	9.43832	30.864	6.77567	46.306	14.3154	44.1644	11.0678	83.4787	15.8882	35.2209	20.8288
PTETEGNP00129	PTETEGNP36268	26.8297	34.7514	27.7429	27.2694	18.7385	11.4958	15.272	9.91601	9.24961	12.18	9.54083	6.4799	9.38121	8.02588	11.4404	8.33601	4.73771	8.47638	10.3997	7.58357	26.4143	24.2165	22.0653	15.6776	8.49767	5.59204
PTETEGNP00130	PTETEGNP36269	23.4865	10.5713	22.3153	9.68219	20.5261	10.5111	13.744	8.3818	24.0879	12.0406	18.6144	8.38308	24.4679	12.5931	25.1776	11.8265	27.081	13.348	23.7347	13.0845	26.8811	15.7541	20.2752	10.7845	21.5057	9.70841
PTETEGNP00131	PTETEGNP36270	43.9609	108.166	31.8798	87.3637	14.5815	86.1085	10.8505	62.0807	11.682	79.3243	8.89325	56.5583	10.3134	97.62	7.69218	58.3998	9.16366	99.8057	7.31368	58.8201	12.0245	90.2884	8.66889	66.0193	4.96047	50.8599
PTETEGNP00132	PTETEGNP36272	2.91952	3.30381	2.45171	3.21803	4.09056	4.81495	4.05803	3.93542	6.38805	5.79824	7.42401	6.94673	10.5497	6.15481	9.03202	5.85414	11.2076	3.36538	7.75773	3.07585	7.86705	3.38861	6.80017	2.1987	8.32469	2.50878
PTETEGNP00134	PTETEGNP36273	1.26245	0.629245	1.00114	0.945423	2.24031	1.6882	2.04729	1.93725	2.35066	3.81796	3.34662	3.00215	2.49402	1.99	2.39999	2.80124	0.952766	2.2137	1.58122	2.4214	1.41105	2.22471	0.828264	1.68261	1.20295	1.29823
PTETEGNP00137	PTETEGNP36275	65.1355	19.1018	73.5223	20.5579	17.8977	16.0823	11.8025	13.8156	26.6015	18.7189	13.5118	16.5256	15.6923	14.9714	19.0287	18.0214	9.65531	19.3731	15.4449	21.2077	36.2363	23.11	25.9255	13.66	14.5831	18.3201
PTETEGNP00141	PTETEGNP36278	52.2056	8.4911	64.9748	7.6147	29.5779	5.53053	28.1714	3.39566	20.9195	2.71207	21.5133	2.29045	25.3348	3.2742	33.3511	4.25595	35.8281	3.81648	31.6746	3.76079	69.1033	8.10684	62.9189	5.88969	33.4151	1.63247
PTETEGNP00142	PTETEGNP36279	1.35683	3.41108	0.894922	3.43197	2.14257	8.53494	1.94638	7.74355	2.91416	7.88363	2.44984	7.92428	3.83483	7.70517	3.2944	8.56243	3.91181	6.73183	3.38217	8.45681	2.79506	9.58541	2.85225	10.0515	2.89046	6.10664
PTETEGNP00143	PTETEGNP36280	1.37974	0.55345	1.45423	0.858755	3.78566	2.88775	3.80066	2.49472	3.50293	2.11033	2.66654	3.79663	2.75918	2.63963	3.1297	3.49042	1.93287	1.66315	1.43489	1.86218	2.06044	1.1208	1.75989	1.25593	1.52855	1.58239
PTETEGNP00144	PTETEGNP36282	3.22695	6.69606	3.11081	5.23997	2.6475	6.06938	2.46944	5.34879	3.82262	7.71815	3.9665	6.50573	4.33722	9.11264	3.62756	7.58144	2.92252	8.54747	2.96159	6.51212	2.27325	8.12262	2.48534	7.05772	2.38894	8.56624
PTETEGNP00145	PTETEGNP36283	32.886	32.2577	28.477	27.9071	31.8737	31.918	34.1424	38.3485	48.4946	49.9705	56.7187	63.715	73.498	50.4571	56.8329	58.8088	2.16575	2.01807	1.15361	1.39312	1.15085	2.3341	1.31354	1.7423	0.887101	1.03125
PTETEGNP00147	PTETEGNP36287	1.56725	3.0223	1.14193	2.51574	1.04554	3.29473	1.10839	3.25277	1.35236	3.00966	1.34962	2.71024	1.51501	5.45727	1.45686	3.09006	1.68393	6.57391	1.00238	3.28929	1.56391	5.28224	1.5721	4.19784	1.1068	3.30886
PTETEGNP00148	PTETEGNP36288	2.80402	1.0464	2.47862	1.14601	5.51313	3.10439	3.19204	2.89467	4.56121	4.90338	3.18049	2.72559	5.52969	4.92759	3.65305	3.67577	8.21224	4.83561	4.46998	5.32291	5.47487	4.03415	4.32012	2.52487	3.98477	2.9249
PTETEGNP00149	PTETEGNP36289	0.99135	0.0776463	0.703139	0	1.41101	0.115174	1.11052	0.258902	1.5099	0.0869385	1.62122	0.126992	1.15754	0.133404	2.04553	0.108296	2.81732	0.0613154	2.57579	0.374145	4.58082	0.444084	2.06776	0.189703	1.93617	0.172351
PTETEGNP00153	PTETEGNP36290	2.58436	9.00504	3.04163	7.27284	2.07886	5.73597	1.97807	4.32595	4.18376	6.8204	4.08925	4.32636	5.07326	6.39092	4.55789	5.89391	7.87274	6.12691	4.8756	5.15846	3.79062	4.42424	4.42181	3.81824	5.381	3.03245
PTETEGNP00154	PTETEGNP36291	36.3165	12.9225	35.2187	10.2802	20.1829	7.08025	17.1913	5.49934	16.8058	7.82241	19.5733	5.43091	17.4081	7.07431	16.8346	5.20991	14.4994	9.56614	15.1509	5.78608	19.6943	7.72655	17.5949	5.46379	10.114	5.38313
PTETEGNP00156	PTETEGNP36292	49.7427	45.4378	51.6254	49.8279	60.1571	66.8019	59.6282	67.4942	69.4951	76.1786	68.8781	76.0858	61.9672	68.6771	65.2267	72.942	64.6219	72.1609	65.5499	70.0236	65.8524	64.4194	58.6818	61.6687	61.6855	65.5309
PTETEGNP00157	PTETEGNP36293	9.78732	3.86222	7.48215	3.23641	5.05951	2.96434	3.66456	2.69059	2.56512	1.838	2.28196	1.80469	2.94921	2.27966	2.44336	2.34048	3.48569	1.75737	2.29784	1.63966	8.95243	3.7502	5.6789	2.82489	1.70303	1.51381
PTETEGNP00158	PTETEGNP36294	12.1375	6.15456	9.89529	5.38112	14.4374	8.79984	10.2419	5.29067	13.5476	6.08082	9.71059	6.37762	15.4626	7.6493	10.2143	5.66804	17.1568	8.11344	8.73832	6.23571	11.2607	8.47938	9.39468	3.35256	6.90073	2.25911
PTETEGNP00159	PTETEGNP36295	2.55609	0.241592	2.48999	0.193931	3.96687	0.589219	4.20108	0.508426	4.87078	0.908265	5.6618	0.887178	4.45562	0.664848	6.09225	0.813032	3.32044	0.955158	5.2459	1.48441	4.82547	1.06913	5.63007	0.756785	4.40472	1.00913
PTETEGNP00161	PTETEGNP36297	43.1267	1.5434	29.7978	1.72559	69.6908	8.05581	47.3504	3.23463	83.4655	9.74874	59.0675	5.21972	47.8125	6.79987	46.5712	6.13075	31.2692	1.41724	23.9155	3.02889	35.4226	3.3642	20.6141	2.09682	18.0904	0.66073
PTETEGNP00162	PTETEGNP36298	1.18988	0.652616	1.02929	0.607562	1.49653	0.840492	1.59349	0.791445	2.05533	1.10929	1.59218	0.828277	1.80047	0.883614	2.54714	1.06124	1.75222	0.864773	1.35893	0.839887	2.31944	1.66689	1.89061	1.26497	1.30529	0.457612
PTETEGNP00163	PTETEGNP36299	1.00091	3.17814	1.018	1.89943	3.27203	7.38542	2.78851	6.96306	2.65341	8.88246	2.45361	6.90303	3.57913	8.42486	3.16255	6.72477	4.22821	10.226	3.14217	6.65825	4.42026	10.8507	3.19796	7.82066	3.6311	7.46734
PTETEGNP00164	PTETEGNP36300	2.28848	1.94134	2.00069	2.37361	3.72012	2.4141	3.39871	3.09746	4.86918	3.59868	4.00349	3.36008	3.90619	2.87979	4.05472	3.17216	0.978234	0.578281	0.721603	0.729159	0.844916	0.850688	1.0232	0.834106	0.976288	0.879382
PTETEGNP00165	PTETEGNP36301	677.285	543.523	455.789	453.147	343.105	336.298	290.247	338.151	342.951	337.344	288.869	325.628	287.621	276.901	258.766	310.017	330.093	321.683	219.863	319.034	320.333	439.415	245.948	373.799	280.939	421.151
PTETEGNP00166	PTETEGNP36302	0.872638	0.644881	1.08913	1.12548	3.58935	3.39545	2.06993	2.65488	3.79088	1.38102	2.13334	2.31185	3.1609	0.870958	3.43613	1.8646	2.34082	1.10928	2.95717	1.63606	1.84898	0.735727	2.05299	1.48837	1.92597	0.853526
PTETEGNP00167	PTETEGNP36304	0.991117	0	0.695623	0	2.25325	0.422304	2.35079	0.569584	4.06682	0.825916	2.28217	0.888944	3.2212	0.60032	3.22909	0.649776	2.03083	0.797101	3.01812	0.561218	1.80595	0.57731	1.49298	0.505875	2.11946	0.287252
PTETEGNP00168	PTETEGNP36305	4.37011	0	3.45286	0.216462	9.21478	1.09438	7.31545	1.12629	25.4186	1.83617	18.2006	0.614077	17.985	0	22.236	0.385369	36.0478	0	30.2581	0.104281	5.76864	0.107903	6.73426	0	26.6115	0
PTETEGNP00170	PTETEGNP36307	4.58599	4.50716	4.70614	6.10341	4.29291	10.0039	3.91592	8.15922	3.46949	7.45887	2.96023	5.47634	5.24769	6.38277	5.10231	6.27864	3.42893	5.54549	4.88253	5.85203	2.48445	6.09987	2.88524	4.92348	3.928	5.19892
PTETEGNP00171	PTETEGNP36308	74.7157	74.8176	73.5195	70.5353	98.1511	109.234	90.1252	83.5861	72.3381	93.0888	69.7279	70.1777	60.8944	75.6448	61.2859	72.0608	44.9349	69.3254	47.4666	61.2975	45.5752	79.634	48.4742	66.5145	59.3659	63.2521
PTETEGNP00172	PTETEGNP36309	0.406925	0.0805169	0.562255	0.0927703	0.629907	0.155839	0.107783	0.106669	0.830457	0.0912484	0.264486	0	0.544127	0	0.444587	0	0.126513	0	0.365473	0.271515	0.185567	0	0.405454	0	2.02265	0.235516
PTETEGNP00173	PTETEGNP36310	1.63741	2.35663	1.52716	3.07772	1.60505	2.27131	1.42764	2.07879	2.20249	2.81883	1.95743	2.71918	1.97669	3.59223	2.25923	2.85387	3.16005	3.61473	2.75575	2.33731	2.51907	2.24168	1.65067	2.58516	2.11317	2.90394
